country,id,lat,lng,name,Temperature,Humidity,Cloudiness,Wind Speed
CA,5939210,51.666809,-114.135292,Didsbury,7.39,78,75,8.05
BR,3456206,-21.015829,-49.496109,Nova Aliança,77,69,0,2.24
US,4202634,34.467869,-84.429092,Jasper,39,60,90,10.29
US,4420309,33.93261,-89.330353,Calhoun County,34.07,57,75,6.58
AT,2780604,48.383331,15.51667,Durnstein,39.2,86,36,5.82
IT,3174645,45.35817,9.22655,Locate di Triulzi,33.8,100,0,4
RU,535457,56.283333,37.866669,Levkovo,12.2,85,75,13.42
US,4597398,33.95932,-81.108978,Springdale,38.66,74,1,4.7
PL,761477,49.9426,20.690519,Porabka Uszewska,30.2,92,32,1.12
CN,7741558,29.278669,114.06778,Gaojian,55.18,78,12,6.08
ES,6359897,42.311298,-7.96745,Toén,46.4,93,90,5.82
FR,3006796,48.746262,-3.26142,La Roche-Derrien,42.8,93,92,11.41
US,5359054,32.583939,-117.113083,Imperial Beach,58.08,51,1,6.02
ID,7406557,-8.0578,113.797203,Mojogemi,80.96,83,88,2.84
US,4198680,34.589821,-83.560448,Habersham,35.62,59,90,6.93
RO,667532,43.933331,23.216669,Seaca de Camp,32,100,88,4.7
AT,2766642,47.299999,13.3,Politischer Bezirk Sankt Johann im Pongau,35.6,93,75,4.7
FR,2996752,48.74345,2.06154,Magny-les-Hameaux,40.33,93,90,13.87
BR,3455302,-16.735001,-40.419998,Palmópolis,72.5,94,24,4.52
US,4679987,31.510731,-96.424698,Center,46.38,77,1,4.7
CH,2657963,47.35236,8.27877,Wohlen,35.37,86,75,4.7
FR,6436919,49.466671,5.81667,Villers-la-Montagne,34.66,93,75,8.05
VE,3626047,8.33204,-71.751183,Tovar,68.36,94,76,0.98
US,4458391,35.267681,-75.542374,Buxton,44.17,61,20,11.41
FR,6452080,46.716671,2.7,Ainay-le-Château,37.4,93,0,8.05
CN,1924905,28.32362,115.612106,Hutang,54.77,84,8,11.56
DE,6554031,50.22805,7.75806,Gemmerich,35.17,93,40,8.05
RU,537962,59.226391,42.502777,Kuzemino,-9.45,67,8,3.06
RU,504615,54.795834,38.59222,Protasovo,19.63,92,76,14.07
PL,3096292,51.139992,17.17798,Kielczow,39.2,80,0,8.05
GB,2645020,52.417549,0.52211,Lakenheath,38.59,100,20,13.87
AT,7873669,47.024288,10.66853,Ried im Oberinntal,26.47,85,75,1.12
PL,770609,52.21965,21.680321,Jakubow,35.6,93,75,3.36
CN,1790560,31.174509,121.11692,Xianghuaqiao,50,57,75,17.9
US,4736286,31.250441,-99.25061,Texas,49.37,34,90,4.7
ID,7568175,-8.8932,121.161598,Maukeli,83.12,93,44,12.17
DE,6551701,53.6833,9.61667,Neuendeich,33.8,94,92,3.36
ID,7376245,-8.4629,115.299202,Banjar Sandinggianyar,77.59,94,80,1.83
ID,8045052,-7.5107,108.270103,Kawitan,83.12,100,68,12.91
CA,6144051,46.416801,-62.448639,Selkirk,30.2,74,90,9.17
US,4683453,30.996861,-94.827148,Corrigan,40.93,81,1,3.89
ES,6361643,40.971882,0.09557,Valdeltormo,38.66,94,92,6.24
PL,3089582,51.96336,19.291389,Ozorkow,35.6,93,88,3.36
MX,3522360,19.33333,-99.216667,Olivar de los Padres,54.27,58,5,9.17
BR,3401446,-9.65,-36.48333,Cruzes,71.42,91,0,6.58
IE,2966294,52.829441,-8.21528,Bawn,35.6,93,40,9.17
FR,6431341,43.883331,4.6,Montfrin,34.59,87,0,4.7
BE,6693370,50.84877,4.34664,(Bruxelles-Capitale),36.63,92,0,10.29
BR,3461124,-12.15833,-39.737221,Ipira,73.49,91,24,1.88
IQ,6763613,34.217659,41.305698,Q?r al Asl?f,64.04,43,76,8.03
CH,7286906,47.231918,7.57002,Riedholz,34.5,100,75,1.12
IT,3171126,41.878929,14.29332,Pescopennataro,42.8,75,0,4.7
GB,2640312,54.25,-0.76667,Pickering,30.65,100,92,5.82
